,,,,,Name,GEJRNEYA-RI8586A_Src_(Lin)_(vsFreq)(vsPset)_Validate_2021-10-05T14-15-39
Result Number,Result Name,Units,U Limit,L Limit
89,Pout Error (Avg)@Frq3:5999.999,db,,,,0.006175
90,Pout Error (Avg)@Frq3:6000,db,,,,0.0200875
91,Pout Error (Avg)@Frq3:7000,db,,,,0.0123875
92,Pout Error (Avg)@Frq3:8000,db,,,,0.009575
93,Pout Error (Avg)@Frq3:8999.999,db,,,,0.0040625
94,Pout Error (Avg)@Frq3:9000,db,,,,0.00685
95,Pout Error (Avg)@Frq3:10000,db,,,,0.0034375
96,Pout Error (Avg)@Frq3:11000,db,,,,0.0429
97,Pout Error (Avg)@Frq3:11999.999,db,,,,0.003925
98,Pout Error (Avg)@Frq3:12000,db,,,,0.00755
99,Pout Error (Avg)@Frq3:13000,db,,,,0.016675
100,Pout Error (Avg)@Frq3:14000,db,,,,0.0102875
101,Pout Error (Avg)@Frq3:15000,db,,,,0.016575
102,Pout Error (Avg)@Frq3:16000,db,,,,0.0172875
103,Pout Error (Avg)@Frq3:17000,db,,,,0.011875
104,Pout Error (Avg)@Frq3:17999.999,db,,,,0.0099875
105,Pout Error (Avg)@Frq3:18000,db,,,,0.0083375
106,Pout Error (Avg)@Frq3:19000,db,,,,0.0037375
107,Pout Error (Avg)@Frq3:20000,db,,,,0.009
108,Pout Error (Avg)@Frq3:21000,db,,,,0.0058125
109,Pout Error (Avg)@Frq3:22000,db,,,,0.00635
110,Pout Error (Avg)@Frq3:23000,db,,,,0.0124625
111,Pout Error (Avg)@Frq3:24000,db,,,,0.034725
112,Pout Error (Max-Min)@Frq3:20,db,1,,,0.1491
113,Pout Error (Max-Min)@Frq3:30,db,1,,,0.0294
114,Pout Error (Max-Min)@Frq3:40,db,1,,,0.0181
115,Pout Error (Max-Min)@Frq3:50,db,1,,,0.0156
116,Pout Error (Max-Min)@Frq3:60,db,1,,,0.0283
117,Pout Error (Max-Min)@Frq3:70,db,1,,,0.0204
118,Pout Error (Max-Min)@Frq3:80,db,1,,,0.0158
119,Pout Error (Max-Min)@Frq3:90,db,1,,,0.0122
120,Pout Error (Max-Min)@Frq3:99.999,db,1,,,0.0159
121,Pout Error (Max-Min)@Frq3:100,db,1,,,0.015
122,Pout Error (Max-Min)@Frq3:440.5,db,1,,,0.0205
123,Pout Error (Max-Min)@Frq3:440.501,db,1,,,0.0102
124,Pout Error (Max-Min)@Frq3:580.5,db,1,,,0.0245
125,Pout Error (Max-Min)@Frq3:580.501,db,1,,,0.0218
126,Pout Error (Max-Min)@Frq3:810.5,db,1,,,0.0146
127,Pout Error (Max-Min)@Frq3:810.501,db,1,,,0.0096
128,Pout Error (Max-Min)@Frq3:1000,db,1,,,0.0191
129,Pout Error (Max-Min)@Frq3:1140.5,db,1,,,0.0236
130,Pout Error (Max-Min)@Frq3:1140.501,db,1,,,0.0156
131,Pout Error (Max-Min)@Frq3:1640.5,db,1,,,0.0223
132,Pout Error (Max-Min)@Frq3:1640.501,db,1,,,0.0268
133,Pout Error (Max-Min)@Frq3:2000,db,1,,,0.0224
134,Pout Error (Max-Min)@Frq3:2340.5,db,1,,,0.0344
135,Pout Error (Max-Min)@Frq3:2340.501,db,1,,,0.0202
136,Pout Error (Max-Min)@Frq3:3000,db,1,,,0.0164
137,Pout Error (Max-Min)@Frq3:3740.5,db,1,,,0.0176
138,Pout Error (Max-Min)@Frq3:3740.501,db,1,,,0.0285
139,Pout Error (Max-Min)@Frq3:4000,db,1,,,0.0101
140,Pout Error (Max-Min)@Frq3:5000,db,1,,,0.013
141,Pout Error (Max-Min)@Frq3:5540.5,db,1,,,0.0112
142,Pout Error (Max-Min)@Frq3:5540.501,db,1,,,0.013
143,Pout Error (Max-Min)@Frq3:5999.999,db,1,,,0.0171
144,Pout Error (Max-Min)@Frq3:6000,db,1,,,0.114
145,Pout Error (Max-Min)@Frq3:7000,db,1,,,0.0108
146,Pout Error (Max-Min)@Frq3:8000,db,1,,,0.0152
147,Pout Error (Max-Min)@Frq3:8999.999,db,1,,,0.0093
148,Pout Error (Max-Min)@Frq3:9000,db,1,,,0.0139
149,Pout Error (Max-Min)@Frq3:10000,db,1,,,0.013
150,Pout Error (Max-Min)@Frq3:11000,db,1,,,0.0289
151,Pout Error (Max-Min)@Frq3:11999.999,db,1,,,0.014
152,Pout Error (Max-Min)@Frq3:12000,db,1,,,0.039
153,Pout Error (Max-Min)@Frq3:13000,db,1,,,0.012
154,Pout Error (Max-Min)@Frq3:14000,db,1,,,0.0134
